Memory used  (%),CPU utilization (%),Free disk space on C: (%),Free disk space on D: (%),Class
9.4609,8.4941,36.4481,96.6836,0
14.7006,9.1195,36.4492,96.6836,0
17.9297,9.7365,36.4503,96.6836,0
9.6505,0.69,36.4514,96.6836,0
9.6491,0.6739,36.4502,96.6836,0
14.2121,14.771,36.4522,96.6836,0
9.3484,0.7283,36.4533,96.6836,0
14.9303,26.3727,36.4554,96.6836,0
9.7031,9.9818,36.4536,96.6836,0
16.8508,15.2905,36.4547,96.6836,0
17.9429,19.2784,36.4558,96.6836,0
10.6796,8.8427,36.4545,96.6836,0
16.6862,7.2548,36.4556,96.6836,0
13.714,5.412,36.4567,96.6836,0
9.2604,0.7247,36.4578,96.6836,0
10.5348,9.0242,36.4565,96.6836,0
18.3693,21.6695,36.4576,96.6836,0
18.096,16.3321,36.4597,96.6836,0
10.8158,0.7064,36.4607,96.6836,0
10.7179,0.8169,36.4624,96.6836,0
10.7772,0.7235,36.4611,96.6836,0
10.7862,0.9383,36.4631,96.6836,0
10.7727,2.7765,36.4643,96.6836,0
10.0475,0.7146,36.4653,96.6836,0
10.063,0.7385,36.464,96.6836,0
9.9755,1.1183,36.4661,96.6836,0
9.9911,0.7174,36.4672,96.6836,0
9.9752,2.7108,36.4659,96.6836,0
15.5093,13.4774,36.467,96.6836,0
9.2938,5.8351,36.4681,96.6836,0
14.1942,8.9451,36.4692,96.6836,0
14.2147,8.9809,36.4669,96.6836,0
9.4035,0.743,36.4689,96.6836,0
10.4759,21.5787,36.4705,96.6836,0
10.3616,27.6126,36.4691,96.6836,0
18.7003,25.218,36.4712,96.6836,0
16.8786,8.9162,36.4723,96.6836,0
11.413,3.3473,36.4739,96.6836,0
17.2054,12.9501,36.4722,96.6836,0
9.9908,1.4999,36.4733,96.6836,0
17.4098,15.3166,36.4743,96.6836,0
14.323,6.0203,36.473,96.6836,0
9.5673,0.8848,36.4741,96.6836,0
9.593,2.92,36.4762,96.6836,0
9.8406,0.7795,36.4773,96.6836,0
17.028,28.9575,36.4763,96.6836,0
18.3324,19.9576,36.4774,96.6836,0
10.3554,4.0577,36.4785,96.6836,0
17.65,12.9583,36.4771,96.6836,0
10.6068,17.7002,36.4792,96.6836,0
16.4148,8.8297,36.4803,96.6836,0
16.4143,9.6363,36.4814,96.6836,0
14.4701,9.1427,36.4801,96.6836,0
15.9525,8.8752,36.4812,96.6836,0
15.901,12.159,36.4823,96.6836,0
9.6681,0.7384,36.4834,96.6836,0
9.7387,0.7441,36.483,96.6836,0
9.5745,0.6277,36.4859,96.6836,0
9.5988,0.755,36.4635,96.6836,0
18.0561,22.2065,36.4646,96.6836,0
10.6634,8.9037,36.4662,96.6836,0
13.2142,22.654,36.4646,96.6836,0
16.8445,22.7929,36.4657,96.6836,0
19.1889,22.1341,36.4669,96.6836,0
16.4346,9.3652,36.4657,96.6836,0
18.5193,13.4742,36.465,96.6836,0
16.3628,15.6867,36.4662,96.6836,0
9.4622,1.1923,36.4673,96.6836,0
10.7117,11.9391,36.4659,96.6836,0
17.4677,27.2992,36.4671,96.6836,0
11.1492,2.6866,36.4682,96.6836,0
11.1618,1.1435,36.4698,96.6836,0
11.1564,1.545,36.4684,96.6836,0
11.1656,10.5582,36.4695,96.6837,0
11.5881,1.2783,36.4706,96.6837,0
15.977,15.5943,36.4693,96.6837,0
10.5268,4.188,36.4704,96.6837,0
9.5073,1.2108,36.4716,96.6837,0
9.5402,1.3106,36.4727,96.6837,0
9.5259,2.9676,36.4714,96.6837,0
16.1998,28.1463,36.4725,96.6837,0
11.7978,11.3907,36.4736,96.6837,0
18.9106,32.1301,36.4757,96.6837,0
13.928,9.7582,36.4746,96.6837,0
16.7103,9.4451,36.4756,96.6837,0
16.6249,10.0046,36.4778,96.6837,0
18.2924,22.6727,36.4766,96.6837,0
15.0211,14.2758,36.4776,96.6837,0
10.4321,2.9092,36.4788,96.6837,0
15.574,15.6926,36.4799,96.6837,0
9.4796,11.0776,36.4786,96.6837,0
12.6811,17.8728,36.4797,96.6837,0
18.6037,27.724,36.4807,96.6837,0
10.0975,1.3127,36.4819,96.6837,0
10.1125,1.2535,36.4818,96.6837,0
17.5087,9.6273,36.4853,96.6837,0
17.2339,9.591,36.4835,96.6837,0
14.4613,10.3013,36.4846,96.6837,0
12.3275,9.3501,36.4857,96.6837,0
11.4491,21.0305,36.4849,96.6837,0
13.5567,7.1944,36.4869,96.6837,0
9.6053,2.761,36.488,96.6837,0
9.5955,1.4775,36.4891,96.6837,0
10.3195,1.2397,36.4878,96.6837,0
10.3273,1.2176,36.4889,96.6837,0
16.4789,9.8338,36.491,96.6837,0
9.7258,1.3159,36.4896,96.6837,0
9.7067,2.0258,36.4907,96.6837,0
19.8817,19.276,36.4918,96.6837,0
15.452,12.6758,36.4934,96.6837,0
10.2771,3.0129,36.4916,96.6837,0
16.7622,13.7353,36.4927,96.6837,0
9.7629,2.9444,36.3741,96.6837,0
9.7616,1.1864,36.3757,96.6837,0
9.7567,5.8108,36.3739,96.6837,0
15.9682,15.8651,36.376,96.6837,0
9.6034,1.1446,36.3772,96.6837,0
9.5799,1.2599,36.376,96.6837,0
13.8702,9.9336,36.3771,96.6837,0
16.9505,9.6972,36.3782,96.6837,0
16.2321,15.0213,36.3792,96.6837,0
9.3872,2.8919,36.3779,96.6837,0
17.1995,15.2243,36.3799,96.6837,0
14.3532,16.8336,36.3811,96.6837,0
11.5623,10.2834,36.3822,96.6837,0
13.6219,18.2959,36.3815,96.6837,0
18.09,19.2074,36.3826,96.6837,0
10.1626,1.7769,36.3823,96.6837,0
10.1416,1.4561,36.3863,96.6837,0
9.4542,1.1629,36.385,96.6837,0
9.4273,1.2404,36.3861,96.6837,0
13.5168,18.3955,36.3882,96.6837,0
11.4848,11.8191,36.3894,96.6837,0
12.9674,13.4629,36.388,96.6837,0
15.8992,16.4499,36.3889,96.6837,0
9.8124,1.7115,36.39,96.6837,0
13.4699,9.8133,36.3916,96.6837,0
16.3264,9.5151,36.3907,96.6837,0
10.0927,0.754,36.3918,96.6837,0
10.0632,0.7421,36.3929,96.6837,0
10.1244,0.783,36.3915,96.6837,0
10.1476,0.6295,36.3927,96.6837,0
10.1204,0.9037,36.3938,96.6837,0
10.169,5.2909,36.3954,96.6837,0
16.7124,14.3705,36.3936,96.6837,0
15.0657,10.9226,36.3967,96.6837,0
9.8203,12.8678,36.3991,96.6837,0
